DATE,WEATHER,COUNT,PRCP,CITY
2011-01-01,Clear,2,0.04,BF
2011-01-02,Cloudy,5,0.12,BF
2011-01-03,Clear,4,0.0,BF
2011-01-04,Clear,5,0.0,BF
2011-01-05,Clear,3,0.0,BF
2011-01-06,Clear,4,0.0,BF
2011-01-07,Clear,8,0.0,BF
2011-01-08,Clear,4,0.0,BF
2011-01-09,Cloudy,3,0.0,BF
2011-01-10,Clear,6,0.0,BF
2011-01-11,Clear,6,0.0,BF
2011-01-12,Clear,7,0.0,BF
2011-01-13,Clear,4,0.0,BF
2011-01-14,Clear,3,0.0,BF
2011-01-15,Cloudy,1,0.0,BF
2011-01-16,Clear,5,0.0,BF
2011-01-17,Cloudy,3,0.0,BF
2011-01-18,Cloudy,2,0.0,BF
2011-01-19,Clear,4,0.0,BF
2011-01-20,Clear,5,0.0,BF
2011-01-21,Clear,8,0.0,BF
2011-01-22,Clear,4,0.0,BF
2011-01-23,Clear,10,0.0,BF
2011-01-24,Fog,6,0.0,BF
2011-01-25,Fog,5,0.0,BF
2011-01-26,Fog,4,0.0,BF
2011-01-27,Clear,5,0.0,BF
2011-01-28,Fog,7,0.0,BF
2011-01-29,Cloudy,8,0.0,BF
2011-01-30,Clear,8,0.24,BF
2011-01-31,Clear,5,0.0,BF
2011-02-01,Clear,6,0.0,BF
2011-02-02,Clear,3,0.0,BF
2011-02-03,Clear,6,0.0,BF
2011-02-04,Cloudy,8,0.0,BF
2011-02-05,Clear,8,0.0,BF
2011-02-06,Clear,9,0.0,BF
2011-02-07,Clear,8,0.0,BF
2011-02-08,Clear,4,0.0,BF
2011-02-09,Clear,6,0.0,BF
2011-02-10,Clear,6,0.0,BF
2011-02-11,Cloudy,6,0.0,BF
2011-02-12,Clear,8,0.0,BF
2011-02-13,Clear,6,0.0,BF
2011-02-14,Clear,9,0.0,BF
2011-02-15,Clear,3,0.0,BF
2011-02-16,Cloudy,5,0.06,BF
2011-02-17,Clear,4,0.0,BF
2011-02-18,Rain,6,0.08,BF
2011-02-19,Cloudy,7,0.01,BF
2011-02-20,Cloudy,3,0.0,BF
2011-02-21,Clear,1,0.0,BF
2011-02-22,Clear,6,0.0,BF
2011-02-23,Clear,5,0.0,BF
2011-02-24,Cloudy,7,0.0,BF
2011-02-25,Cloudy,7,0.24,BF
2011-02-26,Rain,8,0.1,BF
2011-02-27,Clear,4,0.0,BF
2011-02-28,Clear,7,0.0,BF
2011-03-01,Clear,3,0.0,BF
2011-03-02,Clear,7,0.03,BF
2011-03-03,Clear,7,0.0,BF
2011-03-04,Clear,4,0.0,BF
2011-03-05,Clear,5,0.0,BF
2011-03-06,Cloudy,2,0.0,BF
2011-03-07,Clear,4,0.02,BF
2011-03-08,Clear,4,0.0,BF
2011-03-09,Clear,4,0.0,BF
2011-03-10,Clear,2,0.0,BF
2011-03-11,Cloudy,9,0.0,BF
2011-03-12,Clear,4,0.0,BF
2011-03-13,Clear,2,0.0,BF
2011-03-14,Clear,5,0.0,BF
2011-03-15,Clear,8,0.0,BF
2011-03-16,Clear,3,0.01,BF
2011-03-17,Clear,6,0.0,BF
2011-03-18,Cloudy,6,0.1,BF
2011-03-19,Cloudy,1,0.0,BF
2011-03-20,Rain,7,0.89,BF
2011-03-21,Cloudy,7,0.08,BF
2011-03-22,Cloudy,2,0.0,BF
2011-03-23,Cloudy,7,0.47,BF
2011-03-24,Cloudy,4,0.0,BF
2011-03-25,Cloudy,7,0.07,BF
2011-03-26,Cloudy,8,0.0,BF
2011-03-27,Clear,4,0.0,BF
2011-03-28,Cloudy,5,0.0,BF
2011-03-29,Clear,4,0.0,BF
2011-03-30,Clear,8,0.0,BF
2011-03-31,Clear,1,0.0,BF
2011-04-01,Clear,6,0.0,BF
2011-04-02,Clear,5,0.0,BF
2011-04-03,Clear,7,0.0,BF
2011-04-04,Clear,3,0.0,BF
2011-04-05,Clear,11,0.0,BF
2011-04-06,Clear,3,0.0,BF
2011-04-07,Cloudy,6,0.18,BF
2011-04-09,Cloudy,8,0.0,BF
2011-04-10,Clear,4,0.0,BF
2011-04-11,Cloudy,4,0.0,BF
2011-04-12,Clear,8,0.0,BF
2011-04-13,Clear,4,0.0,BF
2011-04-14,Clear,5,0.0,BF
2011-04-15,Clear,6,0.0,BF
2011-04-16,Clear,8,0.0,BF
2011-04-17,Clear,3,0.0,BF
2011-04-18,Clear,4,0.0,BF
2011-04-19,Clear,3,0.0,BF
2011-04-20,Clear,4,0.0,BF
2011-04-21,Cloudy,5,0.0,BF
2011-04-22,Clear,5,0.0,BF
2011-04-23,Clear,7,0.0,BF
2011-04-24,Clear,3,0.0,BF
2011-04-25,Clear,2,0.0,BF
2011-04-26,Clear,8,0.0,BF
2011-04-27,Clear,6,0.0,BF
2011-04-28,Clear,5,0.0,BF
2011-04-29,Clear,4,0.0,BF
2011-04-30,Clear,5,0.0,BF
2011-05-01,Clear,2,0.0,BF
2011-05-02,Clear,9,0.0,BF
2011-05-03,Clear,6,0.0,BF
2011-05-04,Clear,9,0.0,BF
2011-05-05,Clear,5,0.0,BF
2011-05-06,Clear,12,0.0,BF
2011-05-07,Clear,5,0.0,BF
2011-05-08,Clear,5,0.0,BF
2011-05-09,Clear,2,0.0,BF
2011-05-10,Clear,6,0.0,BF
2011-05-11,Clear,8,0.0,BF
2011-05-12,Clear,3,0.0,BF
2011-05-13,Clear,7,0.0,BF
